Name,Phone,Address,URL
"
金門縣文化局圖書館
",082-323169,893 金門縣金城鎮環島北路一段66號,http://cabkc.kinmen.gov.tw/Content_List.aspx?n=C0EA6A65370BC166
"
金門縣金湖鎮圖書館
",082-334695,891 金門縣金城鎮林森路2-3號,http://cabkc.kinmen.gov.tw/cp.aspx?n=CD37B6974EBE96D4
"
金門縣金沙鎮圖書館
",082-353354,890 金門縣金沙鎮國中路61-1號,http://cabkc.kinmen.gov.tw/Content_List.aspx?n=18DABA486FE77FE0
"
金門縣金寧鄉圖書館
",082-324776,892 金門縣金寧鄉仁愛新村7號,http://cabkc.kinmen.gov.tw/Content_List.aspx?n=B46A599759ADB377
"
金門縣烈嶼鄉圖書館
",082-363103,894 金門縣烈嶼鄉上林村后井40號,http://cabkc.kinmen.gov.tw/cp.aspx?n=0DDE7C5DD3A94F3F
"
嘉義市政府文化局圖書館
",05-2788205,600 嘉義市東區忠孝路275號,http://www.cabcy.gov.tw
"
嘉義市世賢圖書館
",05-2312794,600 嘉義市西區世賢路一段685號,http://www.cabcy.gov.tw/web/LibraryResource/Opening/Opening03.htm
"
嘉義市黃賓紀念圖書館
",05-2259613,600 嘉義市西區延平街328號,http://www.cabcy.gov.tw/web/LibraryResource/Opening/Opening02.htm
"
新竹市文化局圖書館
",03-5319756#237,30054 新竹市北區東大路2段15巷1號,http://www.hcml.gov.tw/mp.asp?mp=1
"
新竹市文化局圖書館金山分館
",03-6686413,300 新竹市東區光復路一段163巷53弄1之4號2樓,http://www.hcml.gov.tw/lp.asp?CtNode=827&CtUnit=212&BaseDSD=7&mp=1&xq_xCat=30
"
新竹市文化局圖書館南寮分館
",03-5365275,300 新竹市東區中光路17號2樓,http://www.hcml.gov.tw/lp.asp?CtNode=827&CtUnit=212&BaseDSD=7&mp=1&xq_xCat=40
"
新竹市文化局圖書館香山分館
",03-5387311,30091 新竹市香山區牛埔路389號,http://www.hcml.gov.tw/lp.asp?CtNode=827&CtUnit=212&BaseDSD=7&mp=1&xq_xCat=20
"
新竹市文化局圖書館鹽水分館
",03-5372000,30095 新竹市香山區長興街262巷38號,http://www.hcml.gov.tw/lp.asp?CtNode=827&CtUnit=212&BaseDSD=7&mp=1&xq_xCat=50
"
澎湖縣圖書館
",06-9261141#153,880 澎湖縣馬公市中華路236-1號,http://www.phlib.nat.gov.tw/pagepub/AppContent.aspx?itemNo=GP04.02_1
"
澎湖縣湖西鄉立圖書館
",06-9922855,885 澎湖縣湖西鄉湖西村43之5號,http://www.phlib.nat.gov.tw/pagepub/AppContent.aspx?itemNo=GP04.03_2
"
澎湖縣白沙鄉立圖書館
",06-9932002,884 澎湖縣白沙鄉赤崁村368號,http://www.phlib.nat.gov.tw/pagepub/AppContent.aspx?itemNo=GP04.03_3
"
澎湖縣西嶼鄉立圖書館
",06-9981500,881 澎湖縣西嶼鄉赤馬村78-1號,http://www.phlib.nat.gov.tw/pagepub/AppContent.aspx?itemNo=GP04.03_4
"
澎湖縣望安鄉立圖書館
",06-9991446,882 澎湖縣望安鄉東安村73號,http://www.phlib.nat.gov.tw/pagepub/AppContent.aspx?itemNo=GP04.03_5
"
澎湖縣七美鄉立圖書館
",06-9971854,883 澎湖縣七美鄉中和村4鄰3-1號,http://www.phlib.nat.gov.tw/pagepub/AppContent.aspx?itemNo=GP04.03_6
"
澎湖縣政府文化局澎南圖書分館
",06-9952749,880 澎湖縣馬公市鎖港里309號,http://www.phlib.nat.gov.tw/pagepub/AppContent.aspx?itemNo=GP04.03_1
"
苗栗縣立圖書館
",037-559001,360 苗栗縣苗栗市自治路50號,http://lib.miaoli.gov.tw
"
苗栗縣苗栗市立圖書館
",037-357801,360 苗栗縣苗栗市高苗里12鄰大同路82號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=266&mp=1
"
苗栗縣苑裡鎮立圖書館
",037-861118,358 苗栗縣苑裡鎮信義路1-1號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=270&mp=1
"
苗栗縣通霄鎮立圖書館
",037-758687,357 苗栗縣通霄鎮通東里中正路9-5號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=282&mp=1
"
苗栗縣竹南鎮立圖書館
",037-463043,35047 苗栗縣竹南鎮中正路108號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=271&mp=1
"
苗栗縣頭份市立圖書館
",037-597363,351 苗栗縣頭份市中華路1082號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=279&mp=1
"
苗栗縣後龍鎮立圖書館
",037-722962,35645 苗栗縣後龍鎮大庄里中山路142-1號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=277&mp=1
"
苗栗縣卓蘭鎮立圖書館
",04-25892494,369 苗栗縣卓蘭鎮新厝里中山路125-1號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=269&mp=1
"
苗栗縣大湖鄉立圖書館
",037-994760,364 苗栗縣大湖鄉民族路40之2號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=284&mp=1
"
苗栗縣公館鄉立圖書館
",037-233433,36346 苗栗縣公館鄉館中村宮前路6-1號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=267&mp=1
"
苗栗縣銅鑼鄉立圖書館
",037-985105,366 苗栗縣銅鑼鄉銅鑼村新興路1號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=275&mp=1
"
苗栗縣南庄鄉立圖書館
",037-822799,353 苗栗縣南庄鄉東村20鄰中正路165號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=274&mp=1
"
苗栗縣頭屋鄉立圖書館
",037-250108,362 苗栗縣頭屋鄉頭屋村中正街27號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=272&mp=1
"
苗栗縣三義鄉立圖書館
",037-876842,367 苗栗縣三義鄉廣盛村新生路9-21號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=273&mp=1
"
苗栗縣西湖鄉立圖書館
",037-921519,36841 苗栗縣西湖鄉金獅村2鄰金獅26-3號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=283&mp=1
"
苗栗縣造橋鄉立圖書館
",037-540040,361 苗栗縣造橋鄉造橋村14鄰1號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=276&mp=1
"
苗栗縣三灣鄉立圖書館
",037-833430,352 苗栗縣三灣鄉三灣村11鄰親民路17-1號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=268&mp=1
"
苗栗縣獅潭鄉立圖書館
",037-931803,354 苗栗縣獅潭鄉新店村9鄰98號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=278&mp=1
"
苗栗縣泰安鄉立圖書館
",037-941025#208,365 苗栗縣泰安鄉清安村2鄰69號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=281&mp=1
"
苗栗縣竹南鎮李科永紀念圖書館
",037-613187,350 苗栗縣竹南鎮永貞路二段196號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=280&mp=1
