Name,Phone,Address,URL
"
苗栗縣立圖書館
",037-559001,360 苗栗縣苗栗市自治路50號,http://lib.miaoli.gov.tw
"
苗栗縣苗栗市立圖書館
",037-357801,360 苗栗縣苗栗市高苗里12鄰大同路82號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=266&mp=1
"
苗栗縣苑裡鎮立圖書館
",037-861118,358 苗栗縣苑裡鎮信義路1-1號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=270&mp=1
"
苗栗縣通霄鎮立圖書館
",037-758687,357 苗栗縣通霄鎮通東里中正路9-5號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=282&mp=1
"
苗栗縣竹南鎮立圖書館
",037-463043,35047 苗栗縣竹南鎮中正路108號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=271&mp=1
"
苗栗縣頭份市立圖書館
",037-597363,351 苗栗縣頭份市中華路1082號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=279&mp=1
"
苗栗縣後龍鎮立圖書館
",037-722962,35645 苗栗縣後龍鎮大庄里中山路142-1號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=277&mp=1
"
苗栗縣卓蘭鎮立圖書館
",04-25892494,369 苗栗縣卓蘭鎮新厝里中山路125-1號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=269&mp=1
"
苗栗縣大湖鄉立圖書館
",037-994760,364 苗栗縣大湖鄉民族路40之2號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=284&mp=1
"
苗栗縣公館鄉立圖書館
",037-233433,36346 苗栗縣公館鄉館中村宮前路6-1號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=267&mp=1
"
苗栗縣銅鑼鄉立圖書館
",037-985105,366 苗栗縣銅鑼鄉銅鑼村新興路1號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=275&mp=1
"
苗栗縣南庄鄉立圖書館
",037-822799,353 苗栗縣南庄鄉東村20鄰中正路165號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=274&mp=1
"
苗栗縣頭屋鄉立圖書館
",037-250108,362 苗栗縣頭屋鄉頭屋村中正街27號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=272&mp=1
"
苗栗縣三義鄉立圖書館
",037-876842,367 苗栗縣三義鄉廣盛村新生路9-21號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=273&mp=1
"
苗栗縣西湖鄉立圖書館
",037-921519,36841 苗栗縣西湖鄉金獅村2鄰金獅26-3號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=283&mp=1
"
苗栗縣造橋鄉立圖書館
",037-540040,361 苗栗縣造橋鄉造橋村14鄰1號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=276&mp=1
"
苗栗縣三灣鄉立圖書館
",037-833430,352 苗栗縣三灣鄉三灣村11鄰親民路17-1號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=268&mp=1
"
苗栗縣獅潭鄉立圖書館
",037-931803,354 苗栗縣獅潭鄉新店村9鄰98號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=278&mp=1
"
苗栗縣泰安鄉立圖書館
",037-941025#208,365 苗栗縣泰安鄉清安村2鄰69號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=281&mp=1
"
苗栗縣竹南鎮李科永紀念圖書館
",037-613187,350 苗栗縣竹南鎮永貞路二段196號,https://lib.miaoli.gov.tw/wSite/lp?ctNode=280&mp=1
