Name,Phone,Business_time
總部測試店,洲子 ,電話02-26271155
成都店,臺北市萬華區成都路55號 ,電話02-23146429 
永和仁愛店,新北市永和區仁愛路162號 ,電話02-86600961
青埔店,桃園市大園區大成路二段41號 ,電話03-2870525
桃園觀音店,桃園市觀音區成功路一段781號 ,電話03-4832772
桃園敬二店,桃園市敬二街60號 ,電話03-3022259
復興店,台北市大安區復興南路二段151巷43號 ,電話02-27017673
台東店,台東市長安街2-1號 ,電話089-326626
逢甲漢翔店,台中市西屯區漢翔路107號 ,電話04-24527789
板橋大仁店,新北市板橋區大仁街6號 ,電話02-22752717
花蓮店,花蓮市中山路142-6號 ,電話038-331986
OC大安森林,大安 ,電話02-
南崁店,桃園市蘆竹區南昌路4號 ,電話03-3117716
士林店,臺北市士林區中正路235巷34號1樓(士林捷運站一號出口) ,電話02-28838749
蘆洲店,長榮路26-1號 ,電話03-525-6066
蘆洲店,新北市蘆洲區長榮路26-1號 ,電話09-18148619
重北店,重慶北路2段92號 ,電話02-25555910
OVEN COFFEE網站,http,電話02-26271155
