id,name,address,TEL,Unnamed: 4
1,文化處中正圖書室,屏東市大連路69號,08-7360330-3#2120,
2,九如鄉立圖書館,屏東縣九如鄉九如路二段264號,08-7393503,
3,三地門鄉立圖書館,屏東縣三地門鄉中正路二段99號,08-7991104,
4,內埔鄉立圖書館,屏東縣內埔鄉廣濟路26號,08-7781184,
5,竹田鄉立圖書館,屏東縣竹田鄉中山路26號,08-7710979,
6,牡丹鄉立圖書館,屏東縣牡丹鄉石門村石門路32-1號,08-8831162,
7,車城鄉立圖書館,屏東縣車城鄉仁愛路26號,08-8821001#103,
8,里港鄉立圖書館,屏東縣里港鄉過江村過江路43之1號,08-7755754,
9,佳冬鄉立圖書館,屏東縣佳冬鄉佳冬村文化三路157號,08-8663991,
10,來義鄉立圖書館,屏東縣來義鄉中正路94號,08-7850251#301,
11,東港鎮立圖書館,屏東縣東港鎮新勝街51-30號,08-8329160,
12,枋山鄉立圖書館,屏東縣枋山鄉德隆路113號,08-8761107#20,
13,枋寮鄉立圖書館,屏東縣枋寮鄉德興路38號,08-8782012轉26或39,
14,林邊鄉立圖書館,屏東縣林邊鄉永樂村美華路197之63號,08-8755041,
15,長治鄉立圖書館,屏東縣長治鄉進興村潭頭路7號,08-7370643,
16,長治鄉繁華分館,屏東縣長治鄉繁華路171號,08-7620968,
17,南州鄉立圖書館,屏東縣南州鄉溪南村人和路三巷十五號,08-8644534,
18,屏東市復興圖書館,屏東市建南路162號,08-7521971,
19,恆春鎮立圖書館,屏東縣恆春鎮天文路3號,08-889-6088,
20,春日鄉立圖書館,屏東縣春日鄉春日路322號,08-8782145#41,
21,崁頂鄉立圖書館,屏東縣崁頂鄉興農路29-11號,08-8632565,
22,泰武鄉立圖書館,屏東縣泰武鄉佳平村169號,08-7830864,
23,琉球鄉立圖書館,屏東縣琉球鄉中山路49-16號,08-8612974,
24,高樹鄉立圖書館,屏東縣高樹鄉興中路330號,08-7962264,
25,新埤鄉立圖書館,屏東縣新埤鄉新埤村中正34號,08-7972735,
26,新園鄉立圖書館,屏東縣新園鄉仙吉村仙吉路93號,08-8684875,
27,獅子鄉立圖書館,屏東縣獅子鄉楓林村28號,08-8771129#84,
28,萬丹鄉立圖書館,屏東縣萬丹鄉萬後村和平西路257號,(08)777-1627,
29,萬巒鄉立圖書館,屏東縣萬巒鄉萬和村中正路24號,08-7812563,
30,滿州鄉立圖書館,屏東縣滿州鄉中山路145號,08-8801991,
31,瑪家鄉立圖書館,屏東縣瑪家鄉北葉村風景巷1-18號,08-7991071,
32,潮州鎮立圖書館,屏東縣潮州鎮三星里三星路39號,08-7882149,
33,霧台鄉立圖書館,屏東縣霧臺鄉霧臺村神山巷71號,08-7902114,
34,麟洛鄉立圖書館,屏東縣麟洛鄉麟蹄村中山路158號,08-7231436,
35,鹽埔鄉立圖書館,屏東縣鹽埔鄉新二村彭厝路111號,08-7930879,
36,旅學文學館,屏東市公園路24-2號,08-7365010,
