館別,地址,電話,傳真
臺中市立圖書館(總館),臺中市北屯區豐樂路二段158號,2422-9833,2422-5633
大甲分館,臺中市大甲區雁門路172號,2687-08362688-3703,2688-2645
大安分館,臺中市大安區中庄里興安路378號,2671-3290,2671-1705
大肚分館,臺中市大肚區頂街里大德6街30號,2699-5230,2699-4035
大肚瑞井分館,臺中市大肚區瑞井里華山路700號,2691-3572,無
大里分館,臺中市大里區中興路1段163號,2496-2651,2496-5917
大里大新分館,臺中市大里區大新街36之1號,2406-6049,2496-5917
大里德芳分館,臺中市大里區西榮里德芳路1段229號4樓,2481-5336,2496-5917
大雅分館,臺中市大雅區雅潭路4段800號,2568-3207,2560-5651
大墩分館,臺中市西區英才路600號,2371-0370,2371-0024
大墩兒童館,臺中市北屯區興安路一段162號,2232-8546,2231-2032
中區分館,臺中市中區成功路300號7樓,2225-2462,2225-5662
太平分館,臺中市太平區太平3街20號,2279-7786,2270-6590
太平坪林分館,臺中市太平區中山路1段213號,2392-0510,2392-0496
北屯分館,臺中市北屯區大連路三段122號,2244-4665,2244-3420
北區分館,臺中市北區健行路359號,2236-2275,2236-8145
外埔分館,臺中市外埔區大同里甲后路三段1060號,2683-3596,2683-4377
石岡分館,臺中市石岡區明德路175號,2572-2435,2572-2439
后里分館,臺中市后里區墩東里文化路28號,2557-4671,2558-0792
西屯分館,臺中市西屯區福星路666號,2701-1102,2706-2675
溪西分館,臺中市西屯區福玄路1號,2355-3011,2355-3013
西區分館,臺中市西區精誠路256號,2322-4531,2327-9029
沙鹿文昌分館,臺中市沙鹿區文昌街12號,2663-4605,2663-4608
沙鹿深波分館,臺中市沙鹿區鎮南路2段488號,2663-4606,2663-4608
東區分館,臺中市東區建德街144號,2283-0824,2283-0863
東勢分館,臺中市東勢區豐勢路518號,2587-0006,2588-5452
南屯分館,臺中市南屯區大墩十二街361號,2253-3836,2251-1480
南區分館,臺中市南區五權南路335號,2262-3497,2263-4663
烏日分館,臺中市烏日區九德里興祥街121號,2336-8773,2338-5411
神岡分館,臺中市神岡區中山路1460號,2562-0914,2561-0593
梧棲分館,臺中市梧棲區雲集街72號,2656-8701,2656-8531
梧棲親子館,臺中市梧棲區民生街15-77號,2657-1900,2657-1930
清水分館,臺中市清水區鎮政路50號,2627-1597,2627-2965
新社分館,臺中市新社區新社里興社街4段1巷1號,2581-7868,2582-2226
葫蘆墩分館,臺中市豐原區圓環東路782號,2526-0136,2524-4498
精武圖書館,臺中市北區精武路291-3號,2229-3875,2229-3799
潭子分館,臺中市潭子區中山路2段399號,2531-9339,2533-9824
龍井分館,臺中市龍井區龍泉里觀光路2號,2635-3020,2635-8207
龍井山頂分館,臺中市龍井區中沙路新庄仔巷19-1號2樓,2652-0771,無
龍井龍津分館,臺中市龍井區龍津里中央路1段167號3樓,2630-0993,無
豐原分館,臺中市豐原區市政路2號,2515-6756,2515-6776
豐原南嵩分館,臺中市豐原區水源路17巷2號,2523-0438,無
霧峰以文分館,臺中市霧峰區大同路8號,2333-2426,2339-1439
和平區立圖書館,臺中市和平區東關路3段156號,2594-2713,2594-2433
