館別,地址,電話,開放時間
臺南市立圖書館,704臺南市北區公園北路3號,06-2255146#201  ,"1、週二至週日：08:00-21:00
2、週一、國定假日休館"
臺南市立許石音樂圖書館,704臺南市北區公園北路3號,06-2255146#210,"1、週二至週六：10:00-20:00   
      週日：10:00-17:00
2、週一、國定假日休館"
臺南市安南區土城圖書館,709臺南市安南區城中里8鄰城安路85號,06-2255146#620 #622,"1、週二09:00-17:00   
      週三至週日09:00-21:00
2、週一、國定假日、每月最後一個週五休館"
臺南市中西區圖書館,700臺南市中西區中正路5巷1號,"06-2255146#700 - #702
06-2253933","1、週二08:00-17:00　
      週三至週日08:00-21:00
2、週一、國定假日、每月最後一個週五休館"
臺南市安平區圖書館,708臺南市安平區育平路320號,"06-2255146#500
06-2996281","1、週二至週日：08:00-20:00 
2、週一、國定假日、每月最後一個週五休館"
臺南市安南區圖書館,709臺南市安南區安中路二段310號3樓,"06-2255146#600  #603
06-2567758","1、週二09:00-17:00 (僅可拿預約書與還書，未開放1F書庫及3F兒童閱覽
      室)　
      週三至週日09:00-21:00(19:00~21:00 3F兒童閱覽室僅開放「還書」與
      取「兒童、夜取」預約書)
2、週一、國定假日、每月最後一個週五休館"
臺南市東區林森圖書館,701台南市林森路二段46號5樓,06-2255146#301,"1、週二09:00-17:00 (僅開放自修室、期刊報紙區)　
      週三至週日08:00-21:00(開放自修室、期刊報紙區，9:00-20:00開
      放兒童區、開架閱覽區)
2、週一、國定假日、每月最後一個週五休館"
臺南市東區裕文圖書館,701臺南市東區裕信路237號,06-2255146#320,"1、週二09:00-17:00
      週三至週日08:00-21:00 
2、週一、國定假日、每月最後一個週五休館"
臺南市南區喜樹圖書館,702臺南市南區喜樹路179號,06-2255146#400  ,"1、週二08:00-17:00 
      週三至週日08:00-21:00 
2、週一、國定假日、每月最後一個週五休館 "
臺南市七股區圖書館,724臺南市七股區大埕里377-1號,06-7873060  ,"1、週二至週日：08:00-18:00
2、週一、國定假日休館"
臺南市下營區圖書館,735臺南市下營區文化街117號,06-6892104#230,"1、週二至週五：08:00-17:00  
      週六、週日：08:00-16:30
2、週一、國定假日、每月最後一個週五休館"
臺南市大內區圖書館,742臺南市大內區大內里1-45號,06-5764401  ,"1、週二至週日：08:00-17:00
2、週一、國定假日休館"
臺南市山上區圖書館,743臺南市山上區南洲里53號,06-5782506  ,"1、週二至週日8:00-20:00
2、週一、國定假日休館"
臺南市仁德區圖書館,717臺南市仁德區仁義里正義一街39號2樓,"06-2703607
06-2791055","1、週二至週六：08:00-21:00  
      週日：08:00-17:00
2、週一、國定假日、每月最後一個週五休館"
臺南市六甲區圖書館,734臺南市六甲區水林里中山路202號4樓,06-6988003  ,"1、週二至週五：08:00-20:00  
      週六至週日：09:00-17:00
2、週一、國定假日休館"
臺南市北門區圖書館,727臺南市北門區北門里港北49號,06-7861278  ,"1、週二至週五：08:00-18:00   
      週六、週日：08:00-16:00
2、週一、國定假日休館"
臺南市左鎮區圖書館,713臺南市左鎮區中正里176-19號,06-5731774  ,"1、週一至週日：08:00-17:00
2、國定假日休館"
臺南市永康區圖書館,710臺南市永康區永大二路88號,06-2029666#207,"1、週二至週五08:30-21:00   
      週六、週日：09:00-17:00
2、週一、國定假日休館"
臺南市玉井區圖書館,714臺南市玉井區民族路218號,06-5744190  ,"1、週一至週日：08:00-12:00、13:00-17:00
2、國定假日休館"
臺南市白河區圖書館,732臺南市白河區永安里大德街1號,06-6831460  ,"1、週二至週日：08:00-12:00、13:00-17:00  
2、週一、國定假日休館"
臺南市安定區圖書館,745臺南市安定區安加里262-8號,06-5920493  ,"1、週二至週五：08:00-21:00
2、週六、週日：08:00-17:00
3、週一、國定假日休館"
臺南市西港區圖書館,723臺南市西港區西港里中山路370號,06-7951840  ,"1、週二至週五：08:00-21:00
      週六、週日：08:00-17:00  
2、週一、國定假日休館"
臺南市佳里區圖書館,722臺南市佳里區六安里安北路118號,06-7230960  ,"1、週二至週五：08:00-21:00
      週六、週日：08:00-17:00
2、週一、國定假日、每月最後一個週五休館"
