名稱,國家城市,服務性質,電話,負責人
IGM台中國際基督教會,台灣 - 台中市,教會,04-2320-2931,平瀬義樹 牧師
一心聖教會,台灣 - 台中市,教會,04-2527-8503,朱宗昌 傳道
台灣基督長老教會七美教會（澎湖）,台灣 - 澎湖縣,教會,06-997-1220,賴聖玟 牧師
台灣基督長老教會七張教會,台灣 - 新北市,教會,02-2911-8765,陳俊宏 牧師
台灣基督長老教會九如教會（壽中）,台灣 - 高雄市,教會,07-531-6976,謝拱德 牧師
台灣基督長老教會九族聯合教會,台灣 - 南投縣,教會,"049-289-9505, 0922-741-353",趙憶凡 牧師
台灣基督長老教會二林教會,台灣 - 彰化縣,教會,04-896-0003,戴智彰 牧師
二空基督教會,台灣 - 台南市,教會,06-267-5186,徐京台
二苓福音教會,台灣 - 高雄市,教會,07-801-8344,陳尚武
台灣基督長老教會二重埔教會,台灣 - 新竹縣,教會,03-582-6932,連江河 牧師
社團法人中華基督教福音協進會,台灣 - 新北市,教育訓練,02-8660-1070,夏忠堅 牧師
台灣基督長老教會一心教會,台灣 - 高雄市,教會,07-722-8454,金基文 牧師
台灣基督長老教會一甲教會,台灣 - 高雄市,教會,07-771-8155,李宏恩 牧師
台灣基督長老教會七堵教會,台灣 - 基隆市,教會,02-2455-4922,喬約書亞 牧師
台灣基督長老教會九如教會（屏中）,台灣 - 屏東縣,教會,08-739-5097,王中武 牧師
台灣基督長老教會九曲堂教會,台灣 - 高雄市,教會,07-651-5551,盧輝哲 牧師
台灣基督長老教會二水教會,台灣 - 彰化縣,教會,04-879-2147,
二林靈糧教會,台灣 - 彰化縣,教會,04-896-1117,劉永行 牧師
台灣基督長老教會二苓教會,台灣 - 高雄市,教會,07-801-9221,
台灣基督長老教會二重埔教會,台灣 - 新北市,教會,02-2995-6658,陳志聰 牧師
台灣基督長老教會二集團教會,台灣 - 高雄市,教會,"07-689-5600, 0926-243-361",溫宗義 牧師
台灣基督長老教會人倫教會,台灣 - 南投縣,教會,049-277-3240,全天文 牧師
台灣基督長老教會八里灣教會,台灣 - 花蓮縣,教會,03-879-1660,曾志雄 傳道師
台灣基督長老教會八德教會（壽中）,台灣 - 高雄市,教會,07-374-1096,莊書楣 牧師
中壢禮拜堂,台灣 - 桃園市,教會,0955-548-811,黃崇喜
台灣基督長老教會力里教會,台灣 - 屏東縣,教會,08-879-1623,邱河泉 牧師
台灣基督長老教會三一教會（中中）,台灣 - 台中市,教會,04-2371-8748,李佳明 牧師
台灣基督長老教會三一教會（星中）,台灣 - 台北市,教會,02-2769-6505,徐信得 牧師
台灣基督長老教會三仙教會,台灣 - 台東縣,教會,089-850-950,禮幸．嗄巴 傳道師
台灣基督長老教會三民教會（壽中）,台灣 - 高雄市,教會,07-282-2591,李子和 牧師
台灣基督長老教會二崙教會,台灣 - 雲林縣,教會,05-598-2406,廖建志 牧師
二層行台福基督教會,台灣 - 台南市,教會,06-266-4249,郝秀麗
台灣基督長老教會八里教會,台灣 - 新北市,教會,02-2610-1188,鍾國義 牧師
台灣基督長老教會八德教會（竹中）,台灣 - 桃園市,教會,03-362-7202,潘柏如 傳道
八德聖教會,台灣 - 桃園市,教會,03-365-4005,張進興 牧師
台灣基督長老教會力行教會,台灣 - 台中市,教會,04-2360-7014,蔡主結 牧師
台灣基督長老教會力發教會,台灣 - 南投縣,教會,049-299-3030,陳弘毅 傳道師
台灣基督長老教會三一教會（南中）,台灣 - 台南市,教會,06-237-5528,鍾日欣 牧師
台灣基督長老教會三一教會（高中）,台灣 - 高雄市,教會,07-312-3576,王子豪 牧師
台灣基督長老教會三民教會（泰中）,台灣 - 桃園市,教會,03-382-5696,陳誠俊 牧師
三民路浸信會,台灣 - 台北市,教會,02-2763-0414,鍾昌貴 牧師
台灣基督長老教會三地門教會,台灣 - 屏東縣,教會,08-799-1684,陳明光 牧師
台灣基督長老教會三角埔教會,台灣 - 台北市,教會,02-2816-5701,柯主同 牧師
三林聖教會,台灣 - 桃園市,教會,03-4793004,
台灣基督長老教會三重埔教會,台灣 - 新北市,教會,02-2971-0508,陳志恩 傳道
三重基督喜信會,台灣 - 新北市,教會,02-2976-1526,林奇峰 牧師
三重聖教會,台灣 - 新北市,教會,02-2971-1079,邢淑慧 傳道
三峽大磐石純福音教會,台灣 - 新北市,教會,02-2673-8541,蔡小寶 牧師
台灣基督長老教會原美教會,台灣 - 新北市,教會,02-2673-1264,
台灣基督長老教會三義教會,台灣 - 苗栗縣,教會,037-87-0792,邱志仁 牧師
三民聖教會,台灣 - 高雄市,教會,07-343-8448,余俊益 牧師
台灣基督長老教會三光教會,台灣 - 新北市,教會,02-2287-3705,趙謨立 牧師
台灣基督長老教會三多教會,台灣 - 高雄市,教會,07-771-9531,陳信忠 牧師
台灣基督長老教會三和教會,台灣 - 新北市,教會,02-2901-4783,林信澤 牧師
台灣基督長老教會三星教會,台灣 - 宜蘭縣,教會,03-989-2352,黃保諭 牧師
三重神召會,台灣 - 新北市,教會,02-2986-2511,朴世光 牧師
台灣基督長老教會三重救恩教會,台灣 - 新北市,教會,02-2984-2306,王光賜 牧師
三重靈糧堂,台灣 - 新北市,教會,02-8981-6327,萬游艷凰 牧師
台灣基督長老教會三峽教會,台灣 - 新北市,教會,02-2671-1981,李全秇 牧師
三愛會石牌教會,台灣 - 台北市,教會,02-2821-4532,侯樹良 牧師
台灣基督長老教會下半天教會,台灣 - 嘉義縣,教會,05-375-0840,呂秉芳 傳道師
台灣基督長老教會下馬教會,台灣 - 台東縣,教會,089-935-009,
台灣基督長老教會下德武教會,台灣 - 花蓮縣,教會,03-887-5718,朱瑞木 傳道
上光基督教會,台灣 - 新竹縣,教會,0910427360,高正勝 (達那伊谷) 牧師
台灣基督長老教會久美教會,台灣 - 南投縣,教會,049-283-1554,伊斯巴拉淦．跋尼杜尔 牧師
財團法人斗六基督教浸信會,台灣 - 雲林縣,教會,05-532-2149,
中華浸信宣道會水上教會,台灣 - 嘉義縣,教會,05-268-6324,闕雅萍
中華浸信宣道會台中教會,台灣 - 台中市,教會,"04-2211-4785, 04-22119774",江英輝 執事
中華浸信宣道會竹山教會,台灣 - 南投縣,教會,049-264-4363,李桂蓉
中華浸信宣道會西螺教會,台灣 - 雲林縣,教會,05-586-4164,楊青生 牧師
基督教三義崇真堂,台灣 - 苗栗縣,教會,037-87-5332,美華幹事(核心同工)
台灣基督長老教會下盆教會,台灣 - 新北市,教會,02-2661-6015,优桂瓦但 傳道師
