醫療機構名稱,地址,電話,垂直整合策略聯盟/主責醫事機構,終止合約或歇業日期
仁和內科外科診所,台東縣太麻里鄉外環路220號,089-780310,臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
吳博霖婦產科診所,台東縣台東市開封街352號,089-355513,臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
周健文診所,台東縣池上鄉中西三路3號,089-865609,臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
太平診所,台東縣卑南鄉太平村太平路276號,089-383729,臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
鹿野診所,台東縣鹿野鄉鹿野村中華路2段156號,089-550488,臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
永晴診所,台東縣關山鎮中華路35號,089-814227,臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
民安診所,台東縣關山鎮中華路58號,089-814568,臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
大安診所,臺東縣大武鄉大武村復興路63號,089-791198,臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
安健家醫科婦產科診所,臺東縣太麻里鄉泰和村外環路76號,089-780720,臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
李惠雄內科診所,臺東縣台東市中正路334號,089-361850,臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
東興內科診所,臺東縣台東市四維路三段36號,089-228678,臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
安欣婦產科診所,臺東縣台東市武昌街16號,089-320056,臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
都蘭診所,臺東縣東河鄉都蘭96號,089-530021,臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
王眾舉皮膚科診所,臺東縣臺東市四維路三段46號,089-335116,臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
山水眼科診所,臺東縣關山鎮和平路128號,089-815000,臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
台東縣太麻里鄉衛生所,台東縣太麻里鄉泰和村2鄰民權路66號,089-781220,臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
東和外科診所,台東縣台東市大同路150號,089-311011,臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
台東縣台東巿衛生所,台東縣台東市大同路51號,089-350757,臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
大溪診所,台東縣台東市大順路23號,089-511999,臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
關強內科診所,台東縣台東市中山路224號,089-343588,臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
大慶家醫科外科診所,台東縣台東市中山路267號,089-322221,臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
陳東佑皮膚科診所,台東縣台東市中正路338號,089-327448,臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
尤憲明內科小兒科診所,台東縣台東市中華路1段396號,089-323306,臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
豐田診所,台東縣台東市中興路4段495號,089-382835,臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
路加診所,台東縣台東市民族里新生路236號1樓,089-352966,臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
吳外婦產科診所,台東縣台東市民權里6鄰中山路218號,089-322901,臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
余耳鼻喉科診所,台東縣台東市光明路123號,089-337447,臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
蔡明宏心臟內科診所,台東縣台東市更生路199號,089-346882,臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
吳明宏骨外科診所,台東縣台東市博愛路362巷6號,089-357787,臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
台東縣池上鄉衛生所,台東縣池上鄉中山路104號,089-862609,臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
台東縣延平鄉衛生所,台東縣延平鄉桃源村昇平路11號,089-561040,臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
台東縣海端鄉衛生所,台東縣海端鄉海端村3鄰29號,089-931391,臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
台東縣鹿野鄉衛生所,台東縣鹿野鄉鹿野村中華路1段418號,089-551074,臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
台東縣綠島鄉衛生所,台東縣綠島鄉中寮村1－1號,089-672511,臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
台東縣關山鎮衛生所,台東縣關山鎮中福里中華路78號,089-811042,臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
花蓮縣卓溪鄉衛生所,花蓮縣卓溪鄉卓溪村中正路65號,03-8882592,門諾山地偏鄉整合團隊/臺灣基督教門諾會醫療財團法人門諾醫院,
臺北榮民總醫院臺東分院,台東縣台東市南榮里更生路1000號,089-222995,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
衛生福利部臺東醫院,臺東縣台東市五權街1號,089-324112,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
天主教花蓮教區醫療財團法人台東聖母醫院,臺東縣台東市民族里21鄰杭州街2號,089-322833,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
衛生福利部臺東醫院成功分院,臺東縣成功鎮中山東路32號,089-324112,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院臺東縣區域在地醫療整合/台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,
衛生福利部玉里醫院,花蓮縣玉里鎮中華路448號,03-8886141,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
花蓮縣光復鄉衛生所,花蓮縣光復鄉大馬村中學街158號,03-8701114,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
春天家醫診所,花蓮縣吉安鄉中山路2段175號,03-8538858,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
光鹽診所,花蓮縣吉安鄉中山路3段281號,03-8534305,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
奇美診所,花蓮縣吉安鄉中山路二段1號,03-8533376,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
中心診所,花蓮縣吉安鄉中央路三段566號,03-8460656,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
張曉昇診所,花蓮縣吉安鄉永安村建國路2段223之1號,03-8576771,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
花蓮縣吉安鄉衛生所,花蓮縣吉安鄉吉安村吉安路2段132號,03-8521113,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
安和診所,花蓮縣吉安鄉吉安路1段36號,03-8570067,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
福田耳鼻喉科診所,花蓮縣吉安鄉建國路1段65號,03-8577823,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
和田小兒科診所,花蓮縣吉安鄉建國路二段229號1樓,03-8576822,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
康寧診所,花蓮縣吉安鄉慶豐村中山路3段386號,03-8530910,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
花蓮縣秀林鄉衛生所,花蓮縣秀林鄉秀林村12鄰秀林路88號,03-8612122,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
崇心診所,花蓮縣秀林鄉崇德村崇德路100之8號,03-8621866,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
佛教慈濟醫療財團法人花蓮慈濟醫院,花蓮縣花蓮市中央路3段707號,03-8561825,慈濟醫院Loveplus團隊/佛教慈濟醫療財團法人花蓮慈濟醫院,
